ext_ref_id,booking_date,remittance_info,cleared_amount,catch
EXTAIB_2026-06-15_04343,2026-06-15,67019340-c896-4f96-a397-b26e66656fef,138,False
EXTAIB_2026-06-15_07517,2026-06-15,e1eba081-28f2-4f2c-9ba2-bd9dbeb02289,339,False
EXTAIB_2026-06-15_08594,2026-06-15,f0632bbc-0c07-4a5b-8663-4bccac675c74,266,False
EXTAIB_2026-06-15_08335,2026-06-15,1869945c-42f7-43da-ae75-af31461b6665,489,False
EXTAIB_2026-06-15_04995,2026-06-15,de6ce672-c0f2-417b-8e02-214fc1d25640,111,False
EXTAIB_2026-06-15_08256,2026-06-15,5a2e5f32-dd1a-46a3-9d84-5936de9bea8c,74,False
EXTAIB_2026-06-15_01033,2026-06-15,9aef18ed-18d6-41e5-a34a-f71d535a8a01,331,True
EXTAIB_2026-06-15_08324,2026-06-15,30b05c17-17fc-44e4-8857-c3e2d1579649,61,False
EXTAIB_2026-06-15_09694,2026-06-15,95e80b08-2fdb-4315-b15e-3e90d693acdb,506,False
EXTAIB_2026-06-15_08131,2026-06-15,b7a4a731-b5fa-49d0-8888-8881bca991a9,206,False
EXTAIB_2026-06-15_04850,2026-06-15,948b08a5-1ab1-4aa7-800e-f7d1eeefb31c,62,False
EXTAIB_2026-06-15_02340,2026-06-15,0a6b18f5-58ac-45c7-a6d2-9c8cf5fddead,106,False
EXTAIB_2026-06-15_08632,2026-06-15,51ac2cc4-64cb-4ae5-b5b4-3bfbfd5dd57f,481,False
EXTAIB_2026-06-15_07720,2026-06-15,1e5934f5-b6c7-40ab-8140-0ddf77f6b047,88,False
EXTAIB_2026-06-15_07633,2026-06-15,116ebf0c-4846-423b-9be6-b779f8927c27,76,False
EXTAIB_2026-06-15_08438,2026-06-15,2a167052-f5ba-454f-9d83-5557bb5bd158,284,False
EXTAIB_2026-06-15_06901,2026-06-15,68f5a69a-8e64-4f7e-8c53-bf6a34a958f1,107,False
EXTAIB_2026-06-15_02430,2026-06-15,f0d8d624-0eef-4de9-a914-1e2d3360e6d5,355,False
EXTAIB_2026-06-15_02166,2026-06-15,fd74bfcc-8b6c-4572-a1b4-772f83520c70,508,False
EXTAIB_2026-06-15_08100,2026-06-15,d078668f-e2e6-432b-9432-57ca2782d9a2,121,False
EXTAIB_2026-06-15_09421,2026-06-15,26afc2bf-3138-4e7e-968b-e529cb9acbe3,187,False
EXTAIB_2026-06-15_06987,2026-06-15,6e070f46-299c-4d1c-95b5-3986545c1639,510,False
EXTAIB_2026-06-15_06866,2026-06-15,76ae2d0c-665a-4b9b-8665-deec37791c4b,198,False
EXTAIB_2026-06-15_08179,2026-06-15,318e763e-08d7-4ae1-af81-a873962ff8d5,486,False
EXTAIB_2026-06-15_04800,2026-06-15,fa6dbd27-7055-4db3-aaa7-174f81b87c43,456,False
EXTAIB_2026-06-15_06206,2026-06-15,3f07ac7c-6230-4951-85d8-42bbcdd7e5f7,62,False
EXTAIB_2026-06-15_09368,2026-06-15,e5ac21d9-9c25-461e-91bc-c255ef06ea44,122,False
EXTAIB_2026-06-15_04243,2026-06-15,0766114b-2453-44e8-9a5c-f3d8f36816ac,326,False
EXTAIB_2026-06-15_09234,2026-06-15,7a82d04a-da20-4f66-8e98-5ac3520ce4e8,52,False
EXTAIB_2026-06-15_08894,2026-06-15,17a957ec-98b9-48ce-b905-cbeb46ed12d0,186,False
EXTAIB_2026-06-15_07579,2026-06-15,ca18e3d8-6b78-4849-b23c-0051b3e0e8d5,99,False
EXTAIB_2026-06-15_06399,2026-06-15,8a89d952-5f02-4bf1-b52c-9dcf02a2daa8,437,False
EXTAIB_2026-06-15_00047,2026-06-15,644e5efa-7e11-4339-81ff-e5dd2ddd3961,511,False
EXTAIB_2026-06-15_08128,2026-06-15,09ba77ac-c4f9-4617-93fa-f9289d137ed0,186,False
EXTAIB_2026-06-15_06500,2026-06-15,8f21cf39-070a-452b-9ad6-bd0142bd8520,428,False
EXTAIB_2026-06-15_07434,2026-06-15,f7c25c53-ebfd-42cd-9508-8f0e28a4afe5,121,False
EXTAIB_2026-06-15_09736,2026-06-15,6c00b860-fb0b-4ebc-b5f1-2359a0783459,265,False
EXTAIB_2026-06-15_08133,2026-06-15,46891416-7bd3-499e-9c39-815a210958eb,227,False
EXTAIB_2026-06-15_02409,2026-06-15,4484de40-f153-4e3b-966a-8def463362da,397,False
EXTAIB_2026-06-15_05119,2026-06-15,cc93209a-cd25-40e3-9463-1b43669bf7e2,109,True
EXTAIB_2026-06-15_05019,2026-06-15,2d1dc85e-946f-4cdd-90d2-fc820b9dbbb0,119,False
EXTAIB_2026-06-15_07130,2026-06-15,2172f451-0940-4ede-8385-36615bee4dc4,128,False
EXTAIB_2026-06-15_00272,2026-06-15,cf08fef7-3bc1-4e44-96e2-78ebefcfab52,212,False
EXTAIB_2026-06-15_00225,2026-06-15,8ae84064-beb8-4156-a821-f8af8bc831c4,263,False
EXTAIB_2026-06-15_08207,2026-06-15,189ae05c-7de3-4dc1-8ac9-d6e899c98433,241,False
EXTAIB_2026-06-15_06963,2026-06-15,22e75cd2-6080-4ce5-ab8b-c4fa2e07282d,123,False
EXTAIB_2026-06-15_07248,2026-06-15,ecc858ed-a641-4ab6-8ea3-dd300a428d94,92,False
EXTAIB_2026-06-15_03805,2026-06-15,cf77684a-6997-4bb1-a878-c2cf279581d0,359,False
EXTAIB_2026-06-15_02612,2026-06-15,3d91341d-f0ad-42b1-84e4-6a613c64d946,131,False
EXTAIB_2026-06-15_07595,2026-06-15,37b8d252-705e-458a-acf4-4c8f2a378ce9,388,False
EXTAIB_2026-06-15_06350,2026-06-15,02112bdd-842f-4965-a1c5-19d6cf23113e,478,False
EXTAIB_2026-06-15_04646,2026-06-15,154d1268-10f8-4110-a06c-55a1a7c0c76b,115,False
EXTAIB_2026-06-15_04887,2026-06-15,39f4b9ae-6a59-4a61-b00a-3acd63cae484,322,False
EXTAIB_2026-06-15_01786,2026-06-15,6d82ccea-d3c3-4ae9-913b-51fa56407748,388,False
EXTAIB_2026-06-15_03192,2026-06-15,7f467fbb-7c37-4a3d-b2b3-63e69600932e,270,False
EXTAIB_2026-06-15_01668,2026-06-15,b3f9fda5-bda2-4e22-89ac-bf0bd491b035,364,False
EXTAIB_2026-06-15_01721,2026-06-15,0cc42992-6231-46a1-a86e-951a557f75dd,300,False
EXTAIB_2026-06-15_05216,2026-06-15,ef6910d0-8e8a-42bc-9d88-3f9dd3c2a986,93,False
EXTAIB_2026-06-15_01999,2026-06-15,c2c7a059-60d9-4388-911b-362f4b6bb93e,153,False
EXTAIB_2026-06-15_08659,2026-06-15,84e93771-1456-4a43-8724-0e8b59860abe,160,False
EXTAIB_2026-06-15_07748,2026-06-15,baf1f676-1fe3-490e-8420-b7c618e52994,222,False
EXTAIB_2026-06-15_01186,2026-06-15,88717588-6f1e-4717-a251-caaf9039c238,410,False
EXTAIB_2026-06-15_08758,2026-06-15,fb54dc47-ba45-4710-a976-2da6a4f0a554,124,False
EXTAIB_2026-06-15_07299,2026-06-15,5c5ac6d0-bcdf-473c-b068-3034ef0a13ef,375,False
EXTAIB_2026-06-15_07832,2026-06-15,8dadcf0a-7f77-46ca-a193-191c4aa34def,358,False
EXTAIB_2026-06-15_02806,2026-06-15,23c37cfe-c635-4c7e-9824-4ce6d835b652,107,False
EXTAIB_2026-06-15_03378,2026-06-15,c610759b-ccaf-4e19-b520-893da2645f79,454,False
EXTAIB_2026-06-15_06065,2026-06-15,e87528c2-538e-44c3-8c09-795ed5671ea8,137,False
EXTAIB_2026-06-15_00342,2026-06-15,b20dda63-ce7f-4f51-abf9-ce2185eaee7e,310,False
EXTAIB_2026-06-15_06663,2026-06-15,6d1a3476-4955-4384-a8ca-7d59caac564e,212,False
EXTAIB_2026-06-15_05842,2026-06-15,d6beb2b1-3f12-48de-80ef-c3c5eeddd8ea,315,False
EXTAIB_2026-06-15_06040,2026-06-15,5bd1efc7-ffef-481d-9066-92becc17e3d0,292,False
EXTAIB_2026-06-15_06624,2026-06-15,7386dc25-65e1-4fbb-ae57-6c07e5674516,379,False
EXTAIB_2026-06-15_07403,2026-06-15,a317e0fa-7abf-45b1-b89e-aaa6cc49e204,502,False
EXTAIB_2026-06-15_02438,2026-06-15,6e9edab6-d2c3-4833-accb-18b0057220c5,442,True
EXTAIB_2026-06-15_01068,2026-06-15,949c6cfe-9388-473c-ba39-869455157680,287,False
EXTAIB_2026-06-15_07346,2026-06-15,503b62dd-54ec-450b-a6ef-1cfa1a6355a2,474,False
EXTAIB_2026-06-15_05040,2026-06-15,115c90b2-eed1-4163-a960-7aa20764dc2e,414,False
EXTAIB_2026-06-15_06670,2026-06-15,36bdab3a-aff0-41f2-acaa-02e7916ce008,436,False
EXTAIB_2026-06-15_01583,2026-06-15,8113eb70-35d8-4f6a-ab36-bd5dfa062f8e,421,False
EXTAIB_2026-06-15_08846,2026-06-15,15ac5db5-b216-4e1e-bdb2-9fc7caf76526,242,False
EXTAIB_2026-06-15_01288,2026-06-15,9e761a9c-8674-4177-842b-001dada58eb4,171,False
EXTAIB_2026-06-15_07827,2026-06-15,298ac29a-5b05-4b50-8cde-87b5571d3cde,156,False
EXTAIB_2026-06-15_05807,2026-06-15,d8b29f60-ab9e-4694-a147-bc02266fdb18,99,False
EXTAIB_2026-06-15_06358,2026-06-15,187d4e4e-8a26-40e7-8400-b90a94c7a1de,247,False
EXTAIB_2026-06-15_06039,2026-06-15,1e6e58f4-99fe-4200-aed2-ff95439a5f97,179,False
EXTAIB_2026-06-15_01218,2026-06-15,0d7f37b1-cb83-4a6c-8121-3f82c2678a75,491,False
EXTAIB_2026-06-15_01381,2026-06-15,cc37b3d4-672b-441e-adf7-e68041dbab1e,282,False
EXTAIB_2026-06-15_04775,2026-06-15,b86593db-ff44-430e-84cc-1f8f2bc88523,415,False
EXTAIB_2026-06-15_07480,2026-06-15,03f107de-364d-486a-810e-40ee0d4c2e1a,61,True
EXTAIB_2026-06-15_05904,2026-06-15,4d06ef88-60eb-4134-b08d-26b48bb29823,365,False
EXTAIB_2026-06-15_02036,2026-06-15,ca578d1c-0722-4c44-8b58-e5611bb9c689,495,False
EXTAIB_2026-06-15_08158,2026-06-15,e2ad8ca0-e3f9-4a9e-86b0-9a353b8d1c9a,509,False
EXT_2026-06-15_09076,2026-06-15,8eda70c9-329a-4d3a-993b-97dc2c97903b,108,False
EXTAIB_2026-06-15_02835,2026-06-15,bc99bf29-65ad-4a96-ab87-21a8957cec5a,391,False
EXTAIB_2026-06-15_04911,2026-06-15,7eda6692-3165-4034-8a54-a6020a036f93,375,False
EXTAIB_2026-06-15_07658,2026-06-15,a3c8a0d1-e45d-4961-8813-0303b5727a6a,489,False
EXTAIB_2026-06-15_00789,2026-06-15,7c9e4262-c5f7-4275-a77e-edbd9c2b58a2,469,False
EXTAIB_2026-06-15_07561,2026-06-15,75f4b851-1e8f-4489-be56-1efd0a2c476d,362,False
EXTAIB_2026-06-15_06054,2026-06-15,5e7e24e2-2934-4b28-8cfb-fe5e38967950,372,False
EXTAIB_2026-06-15_01129,2026-06-15,d2d3c356-8a8e-4a3d-b828-73d29d402854,113,False
EXTAIB_2026-06-15_05869,2026-06-15,9acec694-19d5-4cae-a3ac-223f81d8c66e,483,False
EXTAIB_2026-06-15_04591,2026-06-15,bda16be1-d3a1-4d39-95ec-139cf4d73168,327,False
EXTAIB_2026-06-15_04106,2026-06-15,4d5bc9f3-85f6-4319-a96c-d345d3dada8d,295,False
EXTAIB_2026-06-15_00248,2026-06-15,ea7689b6-c4b2-486d-af56-1c9f478153c6,117,False
